realistic,investigative,artistic,social,enterprising,conventional,extraversion,agreeableness,conscientiousness,emotional_stability,openness,major
2.875,4.625,3.75,3.25,2.75,1.875,-2,1,0,0,6,computer science
1.75,3.5,2.5,2.375,3.625,2.5,-4,2,-1,-2,3,religion
1.25,4.625,3.75,3.25,1.25,1.125,-5,5,4,6,6,business
1.0,2.625,3.875,1.875,2.125,1.5,-5,-2,3,5,6,communication
2.875,3.75,3.75,3.125,3.375,3.25,-1,-1,5,5,2,buisness
1.0,1.5,2.25,4.375,2.0,4.25,3,3,6,6,6,mba
1.25,1.75,2.75,4.25,2.25,1.625,6,2,6,4,5,psychology
1.25,4.375,3.125,4.5,2.625,2.125,-1,5,6,2,1,psycology
1.125,4.125,4.0,3.375,1.625,1.25,1,2,3,4,3,communications
1.0,2.875,2.125,3.125,1.75,1.25,-5,4,4,0,6,political science
3.25,5.0,1.125,3.625,1.625,3.375,2,1,6,0,4,kinesiology
1.625,2.125,1.875,2.875,1.0,1.125,-1,3,-4,-2,1,politics philosophy and economics
1.5,3.0,3.0,4.75,2.25,1.5,-1,4,4,0,2,psychology
3.0,4.625,4.25,3.5,3.25,1.875,-1,4,4,4,4,biomedical sciences
2.0,1.75,3.375,4.875,5.0,3.625,1,3,5,-1,6,accounting
1.125,1.0,2.375,1.625,2.0,1.75,-1,2,1,1,3,translation
1.625,3.625,2.875,3.75,2.875,2.125,5,4,6,1,2,psychology
1.0,2.0,1.875,3.375,2.375,2.25,2,2,3,-2,-2,journalism
1.25,3.5,3.0,4.125,1.75,1.75,6,2,1,5,6,psychology
1.5,3.375,3.5,3.25,1.25,1.0,-2,2,6,-1,4,anthropology
1.0,1.625,4.5,3.5,2.25,1.5,6,-1,-4,-3,2,music
1.375,4.25,4.625,4.125,3.5,2.875,-3,1,5,4,4,journalism
2.125,2.625,2.625,2.75,3.125,2.25,-1,-4,1,-3,0,land survey
3.0,3.25,2.875,3.25,3.125,3.0,0,2,0,-1,2,law
2.875,4.0,3.875,3.5,4.0,3.0,4,6,5,1,2,business
1.75,4.0,2.125,3.0,2.375,2.0,1,-2,2,-1,1,science
1.0,2.125,1.625,1.25,2.25,2.875,3,4,1,5,1,english
2.0,2.125,2.125,3.0,2.0,4.875,-5,2,4,1,-1,librarianship
1.25,2.0,2.625,3.25,2.625,2.0,1,2,0,-3,3,psychology
3.5,1.875,1.75,2.625,2.75,3.375,2,2,5,1,3,public administration
1.875,3.375,2.875,3.125,1.375,3.0,-5,6,5,-6,4,interior design
1.375,2.25,1.625,2.625,1.875,2.75,5,0,2,-3,3,electronic engineering
1.0,1.125,2.75,1.0,1.5,1.25,-2,-4,0,-5,-1,systems engineering
1.375,2.875,4.625,3.5,3.125,2.25,1,1,0,-3,5,musical theatre
1.0,1.5,2.125,4.25,2.625,1.5,-1,6,5,-3,2,psychology
1.75,2.5,3.375,2.875,2.375,2.625,2,1,6,1,4,graphic design
1.875,2.125,2.0,2.0,2.125,1.5,0,0,4,2,-1,criminal justice
2.125,4.25,3.625,2.5,1.625,1.25,-1,-3,3,-4,6,economics
2.0,2.75,1.875,3.375,3.875,4.125,0,2,4,-1,-1,mathmatics
1.0,3.5,3.0,2.5,3.0,3.0,-6,0,0,-6,0,economics
2.5,3.75,3.25,3.875,3.0,2.75,-1,3,2,0,3,forensic
1.625,1.25,1.125,4.375,3.0,3.0,0,2,6,3,1,business management
1.875,1.625,2.625,1.25,1.75,2.0,-6,4,2,-1,0,marketing
2.125,3.0,3.875,2.875,2.875,2.375,2,-3,-3,1,3,english
1.875,3.0,1.5,3.625,3.625,3.25,-4,1,5,-3,-1,business
1.0,1.5,1.875,2.75,1.0,1.25,5,-1,3,0,5,psychology
1.375,3.75,2.75,2.625,1.375,1.5,3,0,0,3,3,physics
2.375,3.25,3.0,3.625,3.375,2.0,0,0,2,-1,1,french
1.875,2.75,4.75,2.625,2.375,1.25,-4,1,1,-3,6,theatre
1.75,1.25,2.125,1.25,1.875,2.125,-4,3,2,0,-1,marketing
1.875,1.75,4.125,1.625,2.125,2.75,-4,-1,-1,-3,1,theatre
2.375,3.75,2.375,2.75,3.125,4.0,-1,2,1,-1,1,it
1.25,1.0,1.0,1.625,1.625,3.75,2,-4,-1,-2,2,actuarial science
1.5,2.0,3.375,3.0,4.625,4.5,5,0,1,1,5,law
2.75,3.5,3.125,3.75,2.75,3.375,2,4,3,2,0,elementary education
1.25,1.0,1.0,2.375,2.75,2.875,-6,1,-3,-4,-5,account
2.125,2.625,4.125,2.875,2.625,1.5,2,0,-1,-4,6,multimedia
2.5,3.375,1.75,3.375,3.25,4.875,2,3,6,6,3,environmental studies
1.125,2.875,3.5,2.25,2.0,1.625,6,-3,5,3,5,neuroscience
2.125,3.125,2.5,4.0,2.625,2.5,2,3,2,3,0,psychology
2.875,3.375,3.5,3.25,3.625,3.25,-2,1,0,4,-1,managment
1.5,3.875,2.5,3.125,1.5,1.25,4,2,-4,3,0,medical
1.25,1.0,1.75,4.0,1.875,3.375,-5,6,6,2,2,it
2.875,3.5,3.625,3.0,3.5,2.0,5,-1,-3,5,4,telecommunications
2.0,4.375,4.375,2.375,2.375,3.5,4,6,6,2,5,chemistry
2.0,2.75,4.25,3.25,4.125,3.25,2,-2,1,-1,2,international affairs
2.625,2.875,3.875,3.75,4.0,2.625,2,6,1,6,6,marketing
2.375,2.75,3.875,2.25,2.75,4.375,-4,-1,5,4,0,electrical engineering business
2.375,3.125,2.75,2.625,3.125,3.5,0,0,0,1,4,
1.75,4.0,2.75,4.0,3.375,2.25,0,6,5,5,5,psychology
1.375,2.125,2.375,2.5,1.625,3.5,-4,3,2,-5,-3,psychology
3.125,3.0,4.5,4.0,3.25,3.0,-6,1,4,0,4,finance
3.25,3.0,4.25,4.0,3.125,1.75,-4,4,3,4,4,science
2.5,5.0,4.875,4.625,3.0,2.625,2,3,1,4,3,psychology
2.625,3.875,3.125,3.25,1.875,3.375,-2,4,4,3,0,mechanical engineering
1.375,1.75,1.0,3.75,2.625,3.25,-2,0,1,-4,-2,management
2.625,2.625,2.375,3.25,2.5,2.625,-3,3,5,-1,0,information technology
2.875,2.125,1.75,2.5,2.125,1.5,5,1,1,3,6,comuter science
1.125,2.5,1.5,2.125,2.625,1.75,4,3,4,1,5,health science
1.25,1.75,3.125,1.25,2.75,1.0,3,-2,6,3,3,general studies
1.75,3.875,1.25,3.125,1.625,2.125,-2,-3,4,3,1,biology
3.75,1.75,1.75,2.875,3.5,1.875,6,-4,2,4,2,criminal justice
2.75,4.375,3.75,2.5,2.375,2.75,-4,4,5,-4,5,marketing
2.25,2.125,1.625,3.0,3.625,2.875,-2,3,3,1,4,economics
1.5,2.75,1.875,2.625,1.875,1.5,-1,2,3,2,3,social justice
3.125,4.375,1.625,2.25,1.125,2.625,-5,3,1,5,5,chemistry
2.625,4.125,2.625,2.75,2.875,3.0,3,3,2,-2,0,fashion
1.25,2.5,3.75,3.0,2.125,1.375,2,-2,0,4,5,petroleum engineering
4.0,1.375,3.5,2.875,3.375,1.0,-3,0,-3,-5,6,chemistry
2.75,3.625,3.375,3.25,2.625,2.25,-3,5,-2,4,5,medic
1.0,1.125,4.0,3.875,2.75,1.375,3,0,-2,-2,3,communication
1.375,3.75,3.125,4.5,3.25,3.25,-3,5,-1,3,6,psychology
1.0,2.5,1.25,1.75,5.0,4.75,2,2,3,1,6,pharmacy
1.5,1.625,3.375,2.25,1.125,1.0,0,1,-4,-5,5,spanish
2.5,5.0,4.0,4.0,2.0,3.25,-2,3,0,-3,3,geologist
2.75,2.5,3.625,4.125,2.875,2.5,2,2,5,0,5,english
1.75,1.75,3.5,3.375,3.375,2.0,5,2,1,4,3,hotel management
1.125,4.125,4.25,2.75,2.875,1.375,-5,3,1,-2,2,english
2.5,4.375,3.875,3.875,2.375,1.625,-2,4,4,-1,4,architecture
3.5,4.25,4.0,4.625,3.625,3.75,0,-1,4,-3,6,values education
3.125,3.75,4.25,5.0,3.25,3.5,3,6,5,1,4,pharmacy
2.625,2.375,1.75,2.125,2.875,1.75,4,0,3,0,5,computer science
4.25,5.0,4.625,5.0,5.0,4.25,1,5,6,3,5,mass communications
3.375,4.5,3.25,3.375,2.375,1.75,-5,3,5,3,4,physics
3.75,3.125,3.125,3.75,3.375,2.5,3,0,0,2,5,international relations
1.25,2.25,1.625,1.75,1.25,1.75,-3,3,6,1,-1,business
1.25,2.5,1.0,3.125,1.125,2.5,-1,4,2,4,-2,dietetic
2.75,3.375,3.75,3.75,2.5,2.0,1,1,-1,3,4,civil engineering
3.25,3.25,3.625,3.75,3.375,2.125,5,1,3,5,5,construction management
1.0,1.0,2.375,1.875,2.25,1.25,-1,-1,2,-6,4,economics
1.375,3.0,3.375,3.75,2.0,1.75,6,4,1,3,5,psychology
2.625,4.125,4.625,4.75,4.25,2.5,2,0,6,3,6,psychology
1.875,2.625,2.125,2.625,2.0,2.0,1,3,2,1,3,tourism
1.25,2.75,5.0,3.25,2.875,1.5,0,0,5,1,4,english literature
4.125,2.0,1.25,1.875,1.875,3.625,-4,-2,0,-2,-4,computer science
1.625,2.125,2.75,1.75,3.125,2.875,-5,-2,0,1,1,business
2.375,2.25,2.625,2.625,2.625,2.375,3,-2,6,6,0,psychology
2.625,4.0,2.125,3.75,3.125,3.125,5,1,4,-4,5,liberal arts
3.0,4.625,3.375,3.5,2.0,3.375,-3,0,2,-5,0,health science
1.0,1.125,2.75,3.0,2.0,2.25,4,6,6,3,2,social service
2.375,3.625,2.875,2.875,2.0,3.5,-4,3,3,1,-2,electrical engineering
3.375,4.5,3.5,1.75,4.125,3.125,-3,-2,-1,2,2,neuroscience
1.875,2.875,1.75,4.25,1.5,3.5,4,1,0,6,5,english
3.0,4.75,2.25,4.125,2.75,2.375,-2,3,2,-2,0,medical laboratory science
2.0,1.0,1.5,1.5,1.25,2.0,6,0,-3,-3,6,designing
3.0,2.25,4.375,3.25,2.0,1.375,-3,-1,-6,4,5,literature
4.125,3.25,2.125,1.875,2.25,4.375,-5,0,2,-3,1,landscape architecture
2.25,4.5,2.375,4.5,2.75,1.875,4,0,4,1,2,psychology
1.25,4.0,2.25,2.75,2.375,1.25,3,0,1,-3,0,medic
2.125,2.875,2.75,3.75,3.125,3.375,0,-3,5,-3,3,marketing
2.5,1.0,3.25,3.625,3.375,4.75,2,2,1,-1,2,financial management
2.0,4.5,2.5,4.875,3.0,3.125,6,4,3,5,3,science
1.0,4.625,2.5,3.625,1.375,1.0,0,5,1,4,4,nursing
1.0,1.0,1.375,2.5,1.625,1.125,-5,6,0,-5,3,psychology
1.0,3.625,4.0,3.75,1.5,1.125,1,6,4,2,3,english
3.375,3.125,3.0,3.5,3.75,3.875,4,4,1,0,0,electrical engineering
1.875,1.625,3.125,2.625,3.25,2.25,-4,1,5,0,-1,communication
2.125,3.125,2.25,2.25,2.125,2.125,-6,-5,3,1,3,electronics engineering
1.25,4.25,3.75,4.5,2.75,3.25,2,5,2,-1,2,psychology
3.125,3.5,4.0,4.0,3.5,3.125,0,0,0,0,0,computer science
2.0,1.25,3.25,4.375,4.125,3.875,3,0,5,0,2,psychology
1.5,2.25,3.625,4.25,3.25,2.375,5,1,4,3,6,psychology
3.375,3.375,3.375,3.5,3.5,3.625,2,1,-1,-1,3,english
2.25,2.375,3.0,3.625,3.5,2.625,1,1,6,3,5,finance
3.75,2.125,2.625,2.625,4.875,4.5,1,0,3,4,3,business management
1.25,4.125,1.875,3.375,1.5,1.25,2,4,5,1,1,psychology
2.25,3.625,4.0,3.125,1.375,1.375,3,1,0,-1,5,sociology
1.0,2.5,2.5,4.125,2.625,1.5,-3,6,6,2,5,psychology
1.375,2.25,2.0,3.25,2.125,2.75,1,2,5,0,5,psychology
2.0,3.25,3.75,3.25,2.75,2.125,0,4,6,6,4,english
1.0,1.0,3.625,1.0,1.375,1.0,1,2,1,1,3,music
3.0,2.5,2.375,4.0,3.75,2.25,5,-3,-1,0,3,photography
2.5,3.0,3.125,3.5,2.375,2.125,-2,4,-1,4,2,physics
1.25,4.875,2.25,4.375,1.0,1.375,-2,5,0,1,1,pharmacy
1.0,2.0,1.375,4.0,1.125,1.125,-1,2,3,4,6,psychology
1.5,2.75,2.75,1.75,2.375,1.5,-3,1,-1,-2,6,business
3.25,3.0,2.875,4.125,3.375,3.5,4,1,1,0,2,information technology
1.5,3.125,2.75,3.625,2.75,2.75,-1,1,5,1,0,human resource management
1.5,5.0,2.375,1.625,2.5,1.0,-2,5,6,-4,2,herbal medicine
3.5,2.25,2.25,3.25,4.125,5.0,0,0,4,2,2,accounting
2.75,4.625,3.125,3.375,3.25,3.75,1,1,-1,4,-1,medic
3.125,3.25,3.125,4.375,3.5,3.75,-1,4,0,1,2,
1.0,3.0,1.0,1.375,1.0,1.0,-5,1,4,5,0,medicine
2.0,2.875,4.25,3.625,3.125,2.75,2,6,-2,3,6,psychology
3.125,4.0,3.625,3.0,2.75,2.5,0,0,2,4,3,sociology
3.625,3.75,4.25,4.375,3.875,3.75,-4,0,3,2,4,business
1.125,1.25,3.25,1.75,1.0,1.0,-4,-2,-4,-2,0,political science
1.0,2.25,1.75,2.5,1.0,1.25,-4,5,6,2,6,psychology
1.25,2.75,2.0,4.125,1.75,2.375,-1,-1,3,-1,3,psychology
1.75,2.125,3.125,2.625,3.625,2.625,-4,1,6,-2,1,management
1.0,1.375,2.0,3.125,2.125,2.0,-2,1,3,-1,5,psychology
1.0,4.375,2.75,3.625,3.25,1.875,3,1,5,1,6,psychology
1.75,3.25,1.125,3.0,2.5,1.5,-3,-3,4,-6,5,chemistry
2.75,3.5,2.25,3.75,3.625,4.0,-5,1,0,-3,1,business management
1.375,1.25,2.25,1.375,2.125,3.0,-6,5,5,-2,3,healthcare administration
1.0,2.0,2.125,4.0,1.5,1.375,-3,5,5,1,5,psychology
1.875,3.875,2.125,3.625,2.125,2.125,6,1,3,0,4,psychology
1.0,2.375,1.0,3.5,1.0,1.5,0,1,6,0,2,psychology
1.375,3.0,3.375,4.0,2.25,1.25,1,3,-2,-2,3,english
1.0,2.125,2.875,3.75,1.0,3.5,-1,4,5,4,4,psychology
2.5,3.625,1.625,4.75,1.75,3.75,5,2,6,2,3,criminal justice
1.5,1.75,1.0,2.875,2.625,4.875,-2,2,6,-2,3,accounting
3.25,2.25,3.625,3.5,2.5,2.625,4,5,-2,-3,2,music performance
1.625,3.5,3.25,2.375,2.25,2.5,-5,5,2,1,0,law
1.0,2.625,3.125,2.625,2.125,1.0,-2,-1,5,-4,4,industrial design
1.25,1.375,2.75,4.625,3.125,2.75,5,0,6,2,-2,psychology
1.75,2.375,3.625,2.125,2.0,3.125,-3,-1,1,-3,1,media studies
2.25,1.5,1.0,3.375,1.75,3.375,-3,-1,3,-2,-4,chemical engineering
1.625,2.0,1.375,2.625,2.0,1.625,0,1,0,-2,-1,photography
3.25,4.5,3.0,3.5,3.0,2.875,-6,1,5,-3,3,architecture
3.125,3.5,2.25,2.25,3.0,3.0,-4,0,6,2,0,classics
2.625,3.125,1.625,1.875,3.5,4.375,-1,2,5,4,1,accounting
1.5,1.75,1.5,3.5,2.5,5.0,3,6,6,6,3,psychology
3.125,4.75,3.125,5.0,3.5,1.75,6,1,-1,-3,3,community development
1.25,3.625,3.5,4.25,2.125,2.125,-3,4,0,0,3,psychology
2.875,4.0,1.75,4.625,3.5,3.25,-2,1,4,-2,2,business
2.5,2.875,3.625,3.375,2.75,3.25,2,-3,-4,-5,-1,management
2.875,3.125,4.75,5.0,5.0,2.625,6,5,5,6,6,marketing
3.375,3.75,3.625,3.0,2.75,3.875,2,5,6,1,5,civil engineering
1.875,1.25,2.75,1.625,1.75,1.125,-6,7,-1,7,0,english
1.25,1.25,3.5,2.75,1.125,1.0,0,-2,1,2,5,psychology
1.375,3.75,3.0,4.125,2.0,1.5,-1,0,3,-2,4,english
3.375,3.0,3.125,3.125,2.875,4.125,-5,3,-4,2,0,astronomy
4.125,5.0,3.125,2.0,1.625,3.5,-5,0,1,0,1,medical
1.375,3.625,1.0,2.5,2.875,3.25,-2,3,5,0,0,business
2.25,2.125,2.875,4.0,2.0,2.375,2,1,5,4,2,it
1.625,2.625,2.125,1.5,2.5,1.375,4,0,-1,-1,6,business
2.625,3.5,3.5,4.375,2.875,2.875,0,0,1,4,5,communication
1.25,1.625,3.75,3.75,3.0,4.625,2,1,6,-1,6,accounting
2.25,2.75,3.75,3.125,1.25,1.0,0,-1,0,0,6,psychology
3.75,1.5,1.5,1.75,2.0,4.5,-5,-4,6,2,6,accounting
2.375,2.25,2.25,3.0,4.25,4.75,1,2,6,0,3,accounting
2.875,2.625,2.75,3.625,4.0,4.625,-1,-1,6,6,4,accounting
1.375,1.75,2.25,4.5,4.25,4.75,-2,-1,6,0,5,accounting
3.875,3.0,3.625,3.875,4.5,5.0,2,5,6,6,6,accounting
3.875,1.875,3.25,4.625,4.0,5.0,-1,1,6,4,2,accounting
2.875,2.125,1.875,3.625,3.625,4.375,2,-2,6,-1,3,accounting
2.875,3.625,1.625,2.625,2.25,3.25,1,3,-3,-2,1,civil engineering
2.5,3.625,3.75,4.625,2.375,3.75,-5,5,5,3,4,english
2.75,3.125,3.125,2.875,2.25,2.25,0,3,2,2,3,graphic design
2.125,2.75,2.875,2.625,2.0,2.625,-3,6,4,4,5,graphic design
1.75,1.25,3.375,2.125,1.875,2.0,-2,2,0,2,4,design
2.75,3.5,3.375,3.5,2.375,3.375,-6,0,-2,-1,0,enginering
2.625,2.875,3.625,2.875,2.25,2.0,3,0,5,-5,-1,psychology
1.375,1.875,1.5,2.5,3.0,4.125,-1,2,5,5,4,accounting
2.875,4.0,3.625,2.5,2.375,2.125,-4,3,3,3,3,exercise science
1.375,1.5,1.125,2.25,1.625,1.125,3,2,0,-1,1,sports
3.0,4.125,3.125,3.75,2.75,1.875,-3,3,2,0,4,medicine
1.125,1.375,1.0,1.625,1.5,3.875,4,4,6,0,-1,bussiness
2.125,3.375,3.0,4.0,2.5,3.0,0,1,3,1,4,fashion
2.375,2.75,4.25,3.375,2.125,1.875,-3,3,0,2,2,management
1.0,2.0,1.125,3.5,1.0,1.875,-2,2,6,-2,-6,counseling
1.25,2.125,2.375,3.875,2.75,2.875,1,6,5,6,5,psychology
1.75,2.875,4.5,4.875,4.125,4.125,0,0,0,0,0,nursing
1.0,1.375,1.0,4.5,2.0,2.625,1,5,6,0,5,early childhood education
3.75,3.375,2.25,3.375,1.75,3.5,0,2,5,-2,2,computer
1.0,1.375,1.375,1.25,2.125,1.625,-1,2,6,2,5,civil engineering
3.0,4.0,3.5,3.875,3.125,3.5,2,5,1,5,5,chemistry
2.25,2.375,2.375,2.875,1.5,2.5,-1,1,6,-1,5,psychology
3.375,2.75,3.875,3.25,3.0,4.375,1,-1,6,-2,2,political science
2.5,3.375,3.75,5.0,2.375,1.0,2,6,0,5,6,early childhood education
1.25,2.375,2.625,2.875,1.125,1.0,3,2,1,-3,4,communication
3.125,2.875,2.125,2.25,2.625,3.625,2,3,2,2,2,chemistry
4.0,4.5,1.25,2.375,2.125,2.875,3,-1,5,3,-3,economics
1.5,4.625,3.125,2.625,2.75,3.875,4,2,4,4,1,religious studies
2.0,1.25,2.5,2.75,4.5,4.375,-2,6,5,5,2,business
1.75,3.375,3.25,4.25,2.625,2.875,0,0,-2,0,3,biology
1.25,1.875,3.125,3.375,3.5,1.75,3,5,0,6,4,nursing
1.875,1.875,2.125,3.375,1.375,1.5,-3,2,6,1,-1,french
1.25,2.25,1.75,3.375,1.0,1.25,1,3,4,-4,4,social work
1.5,1.0,1.0,1.5,3.5,5.0,0,6,5,5,2,business
4.25,4.5,4.125,4.875,3.25,3.25,2,5,6,5,5,psychology
1.0,2.0,2.0,4.875,4.25,4.5,0,0,6,2,2,business
3.5,3.25,4.0,3.75,3.5,3.5,-1,0,0,3,-1,tourism
2.0,3.5,2.0,3.5,2.0,3.0,-1,0,6,-2,2,tourism
2.25,2.0,2.75,4.25,3.375,3.375,2,0,6,0,5,english
2.0,3.125,4.625,4.125,3.5,2.625,1,1,-1,2,5,tourism
2.0,3.25,3.5,3.625,2.625,2.25,1,5,6,6,4,nursing
1.5,4.0,1.0,3.75,2.0,2.5,5,5,6,5,0,nutrition
1.875,2.25,3.0,1.5,1.875,1.0,-2,-2,6,5,6,administration
1.625,2.625,1.875,4.0,1.5,2.25,-4,6,2,2,4,counselling psychology
1.25,0.875,2.0,3.0,1.75,2.75,0,5,0,0,2,graphic
1.375,2.875,3.125,4.0,3.25,3.5,1,1,4,1,1,tourism
1.5,2.625,4.5,4.375,2.125,2.0,-1,5,5,4,4,psychology
1.0,1.0,1.0,1.0,1.0,1.5,-6,2,0,-3,0,science
3.625,4.25,1.5,3.875,2.75,3.375,-2,6,1,3,4,physics
1.5,2.625,1.875,3.375,3.125,2.0,5,4,6,4,2,business
1.875,2.625,3.5,3.375,2.0,1.875,5,5,4,2,5,english
2.625,3.5,4.375,3.875,3.375,4.0,5,4,4,-1,6,cybersecurity
0.375,0.375,0.875,0.375,0.75,0.25,-6,3,1,-1,2,values education
1.75,4.875,4.375,4.5,4.125,3.875,6,6,1,-1,6,biology
1.5,2.375,2.875,3.875,2.875,3.125,6,5,6,6,5,nursing
1.375,1.0,2.625,3.5,3.625,2.75,5,4,2,2,-1,general studies
1.625,5.0,3.25,3.5,2.375,2.0,-3,-1,1,-4,6,psychology
3.0,3.25,3.125,3.375,3.25,3.375,-5,3,4,2,4,mba
3.5,3.625,4.125,3.5,3.75,3.0,2,-1,0,0,-2,media
1.75,2.75,3.125,3.5,2.875,2.5,-2,-1,1,-2,2,science
2.375,2.5,2.0,2.625,3.0,2.5,0,0,4,3,2,econ
2.875,3.75,4.5,2.5,2.375,1.5,-2,6,2,1,3,mechanical engineering
2.375,3.75,2.125,3.125,2.625,3.375,1,1,4,2,2,mechnical engineering
3.0,2.125,3.75,3.25,3.5,3.125,1,1,4,1,5,computer
2.25,3.875,2.625,3.5,3.125,3.0,2,2,5,-4,1,psychology
3.0,3.375,3.375,3.75,2.0,2.5,-2,-2,-1,-5,3,philosophy
1.0,3.125,2.625,3.0,1.25,1.25,6,4,6,5,4,psychology
1.75,1.75,3.25,3.25,3.0,3.25,-1,0,1,-1,4,tourism
2.625,2.375,2.75,3.75,3.625,1.875,6,3,3,5,3,business
1.375,2.5,1.5,2.125,1.375,1.25,-1,-3,2,-2,3,law
1.75,2.125,1.875,2.25,3.75,3.625,1,4,2,4,4,english
1.75,2.375,2.0,3.5,4.25,3.875,-1,2,5,0,3,business
2.125,3.875,4.375,3.375,3.0,1.625,-2,-2,1,2,4,international relations
1.0,1.75,1.625,3.625,2.5,1.25,4,3,3,4,4,psycology
1.375,4.0,3.25,2.875,2.25,1.5,1,1,1,1,3,architecture
3.625,4.125,2.875,4.25,3.375,4.625,-1,2,2,1,1,english
2.375,2.0,4.375,3.125,2.375,1.5,0,2,1,-1,5,psychology
2.875,2.875,4.75,3.5,3.5,3.75,3,2,3,0,0,english
1.5,1.0,3.25,1.5,2.75,1.5,0,5,-3,-2,-1,bussiness management
4.0,3.625,3.25,3.125,4.0,1.25,5,3,-1,6,5,marketing
3.0,4.125,4.75,4.0,4.125,2.625,-2,6,0,5,6,business administration
2.875,3.625,2.75,3.125,2.25,2.25,3,-3,4,4,2,mechanical engineering
3.625,4.875,3.5,4.125,3.375,3.25,-2,3,2,4,3,psychology
1.625,3.875,3.5,3.875,1.625,2.125,0,-5,1,2,6,psychology
3.25,3.75,4.5,3.5,3.75,4.625,-2,1,2,0,-1,accounting
3.375,2.875,4.5,3.625,3.5,3.25,1,-2,3,-2,2,business
2.625,2.5,3.0,3.625,3.625,2.625,3,0,0,4,5,business
1.625,3.375,3.875,3.875,3.875,2.5,2,4,0,0,1,hrm
2.0,1.75,4.5,3.5,4.25,2.5,1,2,3,1,0,business management
2.0,2.0,3.875,3.875,3.625,3.0,3,-7,4,-2,2,hrm
1.875,3.25,1.0,2.75,1.375,2.125,-1,2,-1,0,1,chinese medicine
2.125,2.375,2.875,4.625,3.375,3.25,2,2,2,1,2,psychology
1.25,2.125,1.875,3.25,3.5,2.875,-2,1,0,2,1,business
1.25,2.625,3.625,3.75,3.25,1.375,3,4,1,1,6,mechanical engineering
2.125,3.125,4.5,3.5,3.625,1.5,3,4,-2,-3,6,cybersecurity
2.25,4.0,1.5,1.0,1.0,3.5,-6,0,-6,6,6,animation
2.0,3.125,2.625,4.0,2.875,4.0,2,-5,-4,1,3,aas
2.0,2.25,3.375,3.875,3.875,4.625,4,1,5,-2,6,physics
2.875,2.375,1.625,2.0,2.75,2.0,3,-1,5,0,0,doctor
2.0,4.125,3.375,2.5,2.375,2.0,-2,3,1,3,0,psycholoy
2.5,4.375,3.375,2.375,2.0,1.875,0,1,3,-1,6,accounting finance
2.375,3.0,2.875,3.25,2.875,1.625,1,2,5,4,2,management
3.125,3.0,2.75,3.125,3.75,2.875,2,1,6,2,4,enginerring
0.875,1.5,1.0,2.75,1.0,1.25,3,-2,6,1,-2,criminal justice
2.75,4.75,4.0,4.75,2.375,2.875,-2,4,3,1,2,sociology
1.375,2.25,1.125,3.5,2.25,2.625,6,5,5,2,5,healthcare management
1.75,2.25,2.75,4.625,3.375,3.0,6,0,4,4,5,business
2.125,3.625,2.375,3.5,2.875,3.375,2,-3,6,5,2,biomedical engineering
3.25,4.0,3.75,3.125,3.375,1.125,1,-1,2,4,5,innovation management
3.375,1.875,2.5,4.125,4.75,3.25,2,1,5,7,6,marketing
2.625,4.125,4.875,4.125,3.25,1.5,3,-2,-2,5,6,business
2.375,3.75,3.75,3.5,2.625,2.125,2,1,1,-1,5,business
1.0,2.375,5.0,1.625,2.25,1.0,4,-4,1,1,3,management
1.875,1.125,2.125,3.625,2.375,3.625,-1,5,3,1,-3,business
1.125,1.0,1.125,1.25,2.375,2.375,-1,-2,-6,-4,-3,law
1.875,2.125,1.875,3.0,2.0,2.375,1,1,3,0,4,nursing
3.0,4.0,3.875,3.25,2.75,2.75,3,0,-1,0,4,economics and management
1.0,4.0,4.625,3.625,2.5,1.5,0,1,6,-6,1,chemistry
3.5,4.25,4.25,4.75,3.75,3.0,4,1,2,-1,4,english
3.375,2.75,2.125,1.875,1.875,2.25,2,0,6,6,2,geology
1.125,1.25,3.25,3.5,2.375,2.0,-5,1,6,-1,4,psychology
1.0,3.125,2.75,4.25,3.0,2.125,2,6,-1,-2,0,psychology
2.25,4.375,3.125,3.25,4.5,2.625,2,-4,4,-4,6,tourism
2.0,4.0,3.0,2.5,2.75,2.75,6,5,1,5,5,astrophysics
1.125,2.625,3.0,2.625,3.5,2.0,0,-1,2,3,4,foreign languages
2.0,3.375,2.75,2.875,1.375,1.5,-4,4,4,0,4,nursing
3.125,2.75,2.625,3.625,2.625,2.375,1,0,6,0,-1,leadership
1.0,1.25,1.625,4.25,2.0,1.25,-1,2,5,-2,2,social work
1.5,4.0,5.0,4.625,4.5,2.375,5,6,6,5,6,business administration
3.25,3.875,4.375,4.125,3.5,3.125,0,1,4,1,6,business
1.5,1.0,1.0,2.0,4.0,5.0,-1,5,6,6,2,business
3.875,4.875,3.75,3.625,3.25,2.375,0,-3,5,-2,4,pharmacy
2.125,3.5,1.875,3.5,3.875,2.0,5,4,4,3,6,economics
1.625,2.125,1.75,3.75,2.25,3.75,5,3,6,2,3,psychology
3.625,3.125,3.375,2.25,1.5,3.5,-4,-2,1,-5,-3,art
1.25,1.5,3.625,4.5,3.375,3.5,1,6,5,4,1,admin
4.25,1.625,1.875,2.375,3.0,4.125,1,0,5,5,5,cyber security
1.125,1.0,2.375,3.25,2.75,1.5,6,-3,4,5,6,training and development
1.25,1.0,1.0,2.0,1.5,4.125,-4,3,6,-2,5,criminal justice
